"sample","bix","sample","b","t","a","m","c","sample","fi","sample","fi"
"B1S16SPB04No03",0.664245720846768,"B1S16SPB04No03",230.739274566349,555.11804236524,3136.65736959653,2281.27913009119,2381.07342496887,"B1S16SPB04No03",1.17463584826821,"B1S16SPB04No03",1.17463584826821
"B1S17SPB04No30",0.702562863905076,"B1S17SPB04No30",245.483529674152,592.633809325518,2331.0770935773,1625.96024979674,1647.5619027565,"B1S17SPB04No30",1.19532971801882,"B1S17SPB04No30",1.19532971801882
"B1S18SPB04No42",0.58147891896808,"B1S18SPB04No42",312.673068519412,952.909759872942,7572.19097579503,6490.55694428424,8310.80314528907,"B1S18SPB04No42",1.12784210643483,"B1S18SPB04No42",1.12784210643483
"B1S19SPB04No32",0.981476490072364,"B1S19SPB04No32",225.722513040295,185.379528699938,190.1917859448,138.491220092154,122.465039398827,"B1S19SPB04No32",1.39403139238463,"B1S19SPB04No32",1.39403139238463
"B1S1SPB04No04halfconc",0.571317544905347,"B1S1SPB04No04halfconc",371.618618713266,1180.8059386207,9403.51572160749,8043.31452934496,9304.15145481657,"B1S1SPB04No04halfconc",1.09412339189379,"B1S1SPB04No04halfconc",1.09412339189379
"B1S20SPB04No20",0.662847622417776,"B1S20SPB04No20",245.627111956543,578.679620701034,3126.72703207226,2264.07652299755,2432.96181937227,"B1S20SPB04No20",1.17245096176445,"B1S20SPB04No20",1.17245096176445
"B1S21SPB04No46",0.590728744962962,"B1S21SPB04No46",953.179717909981,2224.86698055244,12333.6918656137,9439.02094991365,10267.156883241,"B1S21SPB04No46",1.10689946604757,"B1S21SPB04No46",1.10689946604757
"B1S22SPB04No26",0.68598608776353,"B1S22SPB04No26",197.854810930523,396.649722994713,1924.15483150212,1339.48219591064,1306.93332502566,"B1S22SPB04No26",1.18429461952152,"B1S22SPB04No26",1.18429461952152
"B1S23SPB04No45",0.562574457565135,"B1S23SPB04No45",721.69984131839,1963.58453436778,12753.9666542404,10043.3503938292,11697.9827933799,"B1S23SPB04No45",1.09534165876893,"B1S23SPB04No45",1.09534165876893
"B1S24SPB05No01",0.637120695744245,"B1S24SPB05No01",230.126266956513,568.643894965993,3310.42018715158,2429.51834181687,2594.26879091379,"B1S24SPB05No01",1.1345833306562,"B1S24SPB05No01",1.1345833306562
"B1S25SPB05No03",0.591097407573869,"B1S25SPB05No03",521.721893393398,1449.97027751949,11614.4415055304,8741.09595393791,9422.51205725432,"B1S25SPB05No03",1.09645035693623,"B1S25SPB05No03",1.09645035693623
"B1S26SPB05No04",0.553447077802685,"B1S26SPB05No04",436.031134531062,1285.79436172149,12425.3533105565,9654.29766943725,11095.9190379771,"B1S26SPB05No04",1.089388377118,"B1S26SPB05No04",1.089388377118
